"score" "percentile"
"NDUFS2" 0.60989297026969 51.8480360592402
"PHACTR4" 0.559578969686347 45.7050869285254
"SLC35D1" 0.314259308348641 15.8016741790084
"DNAJC6" 0.611010037302689 52.0154539600773
"CYR61" 0.788602686569484 69.4784288473922
"MANEAL" 0.725624967286836 64.1339343206697
"DIEXF" 0.770534663065575 67.9974243399871
"TMEM56" 0.22194309609273 7.95235028976175
"EXO1" 1.88039704786589 96.6387636831938
"RAD54L" 0.483523312602988 35.2479072762395
"BCAS2" 0.338630393233842 18.1841596909208
"GUK1" 0.468940887028723 33.2324533161623
"PIFO" 0.823792876488025 72.3631680618158
"KLHL21" 1.11932296100172 87.0315518351578
"B4GALT3" 0.713717693900524 62.9362524146813
"IARS2" 0.43617504379208 29.2337411461687
"CD1A" 0.844509225918329 73.882807469414
"CDC7" 0.563584614711499 46.1687057308435
"NENF" 0.859587948282974 74.9452672247263
"NDC1" 0.555055336242795 44.9903412749517
"HAX1" 0.422046496093941 27.3728267868641
"TARBP1" 0.619379660635469 52.96200901481
"TCEANC2" 0.787216676249515 69.3625241468126
"TAS1R2" 1.39921029081788 92.6207340631037
"FCGR1B" 0.701974989494218 61.745009658725
"CAPZB" 0.173007319272826 4.56857694784288
"EPRS" 0.638025216100534 54.8615582743078
"C1orf158" 1.45630785571801 93.4578235672891
"MTFR1L" 0.861474547746692 75.0933676754668
"CREB3L4" 1.38292008169478 92.401802962009
"ASB17" 0.321614063256589 16.4455891822279
"DYRK3" 0.338091631526129 18.1455247907276
"NSL1" 0.370028351245684 21.5325177076626
"HOOK1" 0.401558336311813 24.9967804249839
"ATG4C" 0.782939913195478 69.0212491951063
"ARL8A" 0.140682099804173 3.12942691564713
"MIER1" 0.376304156105094 22.2215067611075
"C1orf131" 0.656270501226963 57.1410173857051
"HPCAL4" 0.328258743128547 17.2858982614295
"MINOS1" 0.22651973759334 8.26786864133934
"CHIA" 1.10829738034243 86.645202833226
"MED8" 0.563683507634516 46.1880231809401
"YY1AP1" 1.25605817776079 90.1352221506761
"SELRC1" 0.511874995492581 39.3367675466838
"RGS8" 0.415218053146858 26.6194462330972
"RGS13" 0.473878642434608 33.9600772698004
"PLA2G4A" 0.584889837424456 48.6220218931101
"PRKAA2" 0.442052409464584 29.9162910495815
"ABCB10" 0.608520710892156 51.6613007083065
"LIX1L" 0.198770186267183 6.2073406310367
"CASP9" 1.18984437956925 88.6284610431423
"MFSD2A" 0.34068683203408 18.4739214423696
"SYT2" 0.16159747531068 4.02446877012234
"FMO3" 1.28101555879439 90.6632324533162
"DCST2" 0.620576456069061 53.0779137153896
"C1orf100" 0.544488584733953 43.618802318094
"DENND2C" 1.36780512971125 92.137797810689
"ZYG11B" 0.584340060100461 48.5383129426916
"WDR26" 0.216854475464863 7.64971023824855
"C1orf61" 0.141461420277498 3.15840309079202
"KLHDC9" 0.240689631294987 9.16291049581455
"SLC2A7" 1.01311465370478 83.4256278171281
"NOC2L" 0.874116493610954 76.0270444301352
"CC2D1B" 0.988281489787819 82.2279459111397
"CNKSR1" 0.674627987504085 58.9697359948487
"CCDC17" 0.497254696571852 37.1667739858339
"NFIA" 0.323787327111452 16.6001287830006
"MTX1" 0.576996888707325 47.7334191886671
"PLEKHM2" 0.488070528793362 35.8403090792015
"TMCO4" 0.981373392354584 81.8866709594333
"ZFP69B" 1.36226754410975 92.0154539600773
"CD5L" 0.673669021170015 58.8924661944623
"YRDC" 0.332427547137248 17.6625885383129
"PEX14" 0.794234678970577 70.0064391500322
"PDZK1IP1" 0.4904185 36.1300708306504
"MRPL24" 0.661192701190165 57.6175144880876
"BMP8A" 0.910867479448836 78.2678686413393
"ATP8B2" 0.478917953393294 34.5524790727624
"ATAD3A" 0.724924746753532 64.0309079201545
"LRP8" 0.744086447995455 65.756600128783
"RYR2" 0.507729153890247 38.6477784932389
"MOB3C" 1.71249590752667 95.7501609787508
"ZNF669" 1.1427621622522 87.5531229877656
"GABRD" 0.972864455727281 81.4166130070831
"GFI1" 0.532012114806873 42.0991629104958
"STIL" 0.842002405683224 73.7669027688345
"PCNXL2" 1.24915141015473 89.9162910495815
"LDLRAD1" 0.654498247769217 56.8963296844816
"MMACHC" 0.393340957972427 24.0566645202833
"ZNF436" 1.57770514261929 94.7520927237605
"RPRD2" 1.27009743425071 90.3927881519639
"CAMK1G" 0.408041531881205 25.7694784288474
"JAK1" 0.283431251068817 12.8267868641339
"TARDBP" 0.491605358931328 36.2974887314874
"SLC39A1" 1.39824403350536 92.6142949130715
"TTC13" 0.206521561251559 6.69671603348358
"OMA1" 0.856663231363096 74.7070186735351
"PGLYRP4" 0.628237967324238 53.7604636188023
"CFHR4" 1.19008942610318 88.6349001931745
"CLSPN" 1.0227998849123 83.8441725692209
"RRAGC" 0.265272744775793 11.249195106246
"HMGN2" 0.156937563153071 3.81841596909208
"CELA2B" 0.77414739611025 68.2807469414037
"CDC14A" 0.266949357843511 11.3650998068255
"VCAM1" 0.66298038789428 57.8042498390212
"PRAMEF6" 0.846049084470478 74.0373470701867
"EDEM3" 0.510000565657966 38.9697359948487
"WDR65" 0.766350351237385 67.598197037991
"RTCA" 0.496624862911058 37.0315518351578
"TNFRSF18" 1.02852406315636 84.0309079201545
"CDC20" 0.452291616083983 31.1783644558918
"C1orf109" 0.310620841625804 15.4088860270444
"PIGV" 2.01265202624 97.1796522858983
"FCGR2B" 0.712656517267789 62.8332260141661
"TRABD2B" 0 0.672891178364456
"NIT1" 0.550507482061356 44.3657437218287
"INTS3" 0.268055008591601 11.5067611075338
"AK2" 0.597662016274081 50.2768834513844
"DUSP12" 0.441170962067785 29.8132646490663
"RCC2" 0.339264840118125 18.2936252414681
"FH" 0.206369294154457 6.69027688345138
"RHBDL2" 0.470329609980968 33.4964584674823
"TAL1" 0.496280850000444 36.9929169349646
"C1orf173" 1.08906546956998 86.1107533805538
"DNAJB4" 0.379040110982114 22.5434642627173
"TTC22" 0.865078314986118 75.3509336767547
"ELAVL4" 0.307504829652235 15.1062459755312
"TPM3" 0.324502761598115 16.6709594333548
"IPP" 0.949648925169442 80.2253702511268
"KCNN3" 0.727058938035992 64.2949130714746
"HS2ST1" 0.737322327031929 65.1770766258854
"MDM4" 0.540466779418595 43.1294269156471
"UTP11L" 0.37798016895621 22.3953638119768
"SF3B4" 0.650237992284846 56.3683193818416
"GGPS1" 1.32666328417062 91.3650998068255
"FLVCR1" 0.849744602642207 74.3013522215068
"GUCA2B" 0.924446900173468 78.9697359948487
"PSMD4" 0.22689692377539 8.30650354153252
"BROX" 0.437451399094016 29.3689632968448
"LEPR" 0.56618669630255 46.4906632324533
"PGM1" 0.503890354768578 38.1455247907276
"SNRPE" 0.0679561020264332 1.63554410817772
"RBM8A" 0.248139910000038 9.67160334835802
"BRINP2" 1.34347777956197 91.6484224082421
"DUSP27" 1.36137743774337 92.0025756600129
"GUCA2A" 0.752977547485158 66.5035415325177
"BAI2" 0.847913692161024 74.1661300708306
"SYPL2" 1.15330576108017 87.8235672891178
"TRIM45" 1.25397170464754 90.0450740502254
"CD164L2" 0.667360198580488 58.3065035415325
"FCGR3B" 0.704212812952084 61.9510624597553
"TMEM52" 0.747293217486416 66.0334835801674
"ETV3" 0.564034023815221 46.2330972311655
"SLC9C2" 0.488637165774573 35.8982614294913
"RPS6KC1" 0.756462408169662 66.7739858338699
"LPGAT1" 0.330382319095623 17.5080489375402
"TGFB2" 0.44745342050753 30.6052801030264
"FCRL1" 0.93891443421352 79.7424339987122
"PRAMEF16" 0.846049084470478 74.0373470701867
"SLAMF8" 1.22113976538947 89.4011590470058
"RUSC1" 1.12946837389049 87.2504829362524
"F11R" 0.536231675947095 42.5820991629105
"DHX9" 0.265638559901589 11.2878300064392
"OPN3" 1.05870079063614 85.099806825499
"ARPC5" 0.475151768367431 34.1017385705087
"CTSE" 0.959474627649377 80.7533805537669
"CR1L" 1.29859360826392 90.8499678042498
"OLFM3" 0.804076537328724 70.8499678042498
"IPO13" 0.469963546743624 33.4449452672247
"CEP85" 0.564140667966268 46.2459755312299
"MATN1" 0.889277411539881 76.9671603348358
"ARTN" 0.494655408638138 36.677398583387
"CELA2A" 0.378271235365414 22.4211204121056
"VPS72" 0.857900840030609 74.803605924018
"FLAD1" 1.58916191700422 94.8808757244044
"SEC16B" 1.11904062310127 87.0186735350934
"BEND5" 0.83190865006081 73.0779137153896
"CNTN2" 0.539445329093118 42.9877656149388
"SETDB1" 0.471159525151618 33.6445589182228
"MAP1LC3C" 0.270280645550119 11.7128139085641
"COX20" 0.380640716476385 22.7881519639408
"E2F2" 1.61944608550325 95.1448808757244
"RHD" 1.12473168743457 87.1345782356729
"GBP6" 0.867089670913056 75.4797166773986
"LYPLAL1" 0.966244115460585 81.1139729555699
"PCP4L1" 0.392144870742599 23.9343206696716
"PEA15" 0.258272132419205 10.524790727624
"CTRC" 0.424892380296633 27.7012234385061
"GRIK3" 0.835546048704875 73.2968448164842
"TMEM61" 0.817744778434771 71.9446233097231
"SLC1A7" 0.944507415024291 80.0643915003219
"C1orf52" 0.469721619468308 33.3934320669672
"TRAF3IP3" 0.478710995163819 34.5331616226658
"KIAA1522" 0.447458430426238 30.6117192530586
"PRDM2" 3.15039800442627 99.1307147456536
"SZT2" 0.544970653372086 43.7153895685769
"CTNNBIP1" 0.372651333281299 21.8931101094655
"MIIP" 1.23095371602022 89.5750160978751
"COPA" 0.250634550810514 9.86477784932389
"SYF2" 0.720949381561928 63.6059240180296
"FCRLB" 0.964885747497685 81.0753380553767
"DIO1" 0.633590595263769 54.3142305215711
"DLGAP3" 0.974619444586267 81.5260785576304
"IGSF9" 0.586127584526904 48.750804893754
"CA14" 0.302986225925157 14.6748229233741
"PARP1" 0.638667631646553 54.9967804249839
"SFPQ" 0.304189654030786 14.7907276239536
"CELA3A" 0.542107908223538 43.354797166774
"CLCC1" 0.730162669391043 64.5653573728268
"SESN2" 0.611609530073232 52.1120412105602
"NBPF4" 0.26674794982941 11.3522215067611
"B4GALT2" 1.1607633662032 88.0103026400515
"PAFAH2" 0.533517029069233 42.2601416613007
"EFNA4" 0.242695185770746 9.3882807469414
"VPS13D" 0.989537268387791 82.2858982614295
"HMGCS2" 0.786966845222368 69.343206696716
"BGLAP" 0.539588795268943 43.0070830650354
"CDC42SE1" 0.12406985000003 2.65936896329684
"AK5" 0.413009411486717 26.3554410817772
"SYCP1" 0.475755457052298 34.1725692208628
"RNF115" 0.237501613181942 8.95041854475209
